SKU_Input,PartNum,ProductName,DBP_ex_GST,DBP_inc_GST,RRP_ex_GST,RRP_inc_GST,Available_SYD,Available_MEL,Available_BRS,Available_ADL,Available_WA,Status
NWG-WGM5900211,,,,,,,,,,,,NOT FOUND
NWG-WGM5900213,,,,,,,,,,,,NOT FOUND
NWG-WGM5901601,NWG-WGM5901601,WatchGuard High Availability for M590 - 1-Year,122,134.2,5580.91,6139,0,0,0,0,0,OK
NWG-WGM595000,NWG-WGM595000,WatchGuard Firebox M595 Appliance Only – License Not Included (Requires Separate WG License Purchase),3936,4329.6,4250.88,4675.968,4,0,0,0,0,OK
NWG-WGM5950061,NWG-WGM5950061,WatchGuard Standard Support for Firebox M595 - 1-Year,10307,11337.7,16280.68,17908.75,0,0,0,0,0,OK
NWG-WGM5950063,NWG-WGM5950063,WatchGuard Standard Support for Firebox M595 - 3-Year,16789,18467.9,23689.77,26058.75,0,0,0,0,0,OK
NWG-WGM5950071,NWG-WGM5950071,WatchGuard Basic Security Suite for Firebox M595 - 1-Year,13370,14707,19781.82,21760,0,0,0,0,0,OK
NWG-WGM5950073,NWG-WGM5950073,WatchGuard Basic Security Suite for Firebox M595 - 3-Year,23787,26165.7,31689.77,34858.75,0,0,0,0,0,OK
NWG-WGM5950081,NWG-WGM5950081,WatchGuard Total Security Suite for Firebox M595 - 1-Year,20380,22418,27795.45,30575,0,0,0,0,0,OK
NWG-WGM5950083,NWG-WGM5950083,WatchGuard Total Security Suite for Firebox M595 - 3-Year,40428,44470.8,48197.16,53016.876,0,0,0,0,0,OK
NWG-WGM5950203,,,,,,,,,,,,NOT FOUND
NWG-WGM5950211,,,,,,,,,,,,NOT FOUND
NWG-WGM5950213,,,,,,,,,,,,NOT FOUND
NWG-WGM5951601,NWG-WGM5951601,WatchGuard High Availability for M595 - 1-Year,3186,3504.6,8140.91,8955,0,0,0,0,0,OK
NWG-WGM5951603,NWG-WGM5951603,WatchGuard High Availability for M595 - 3-Year,8499,9348.9,14518.18,15970,0,0,0,0,0,OK
NWG-WGM6901603,NWG-WGM6901603,WatchGuard High Availability for M690 - 3-Year,292,321.2,11762.73,12939,0,0,0,0,0,OK
NWG-WGM690000,NWG-WGM690000,WatchGuard Firebox M690 Appliance Only – License Not Included (Requires Separate WG License Purchase),7337,8070.7,7923.96,8716.356,0,0,0,0,0,OK
NWG-WGM6900061,NWG-WGM6900061,WatchGuard Standard Support for Firebox M690 - 1-Year,3905,4295.5,15326.36,16859,0,0,0,0,0,OK
